clean_text,final_label,source_langue,pays
موقعك يبدو أنك صاحب نظرة ثاقبة يخي تبهليل,negative,arabe,algerie
تبهليل هاذا,negative,arabe,algerie
هاذي تبهليل ماشي فهامة,negative,arabe,algerie
تخاف نجاوب ناصر ببلوك لانو طريقة السؤال شوي تبهليل وتذاكي,negative,arabe,algerie
مرنكة أقسم بالله تبهليل منتصف الليل,negative,arabe,algerie
بالنصب الطلبة يدير والو يقدم محتوى تبهليل عنده ملايين المتابعين يحصد ملايين الدنانير ظهورهم,negative,arabe,algerie
فعلا مدة تويتر نقي تدخل ترتاح دوك تويتر اصبح مقل الفايسبوك معمر تبهليل الواحد هرب الفيسبوك,negative,arabe,algerie
الخير بالصح تكون سنة تلبس كيما هاذا يتسمى تبهليل معليش تكون نظيف ومحسن وجهك,negative,arabe,algerie
راك كبير تبهليل,negative,arabe,algerie
راك تخدم شرك ازونا بلا تبهليل,negative,arabe,algerie
تبهليل يستمر المتبردعين,negative,arabe,algerie
سمعت الفيديو تبهليل مش كرم,negative,arabe,algerie
العار والعيب أنو تلقى قنوات كيما العربية والحدث مدايرة تغطية الحرائق والشيء راه صاري الجزائر والقنوات تعنا مدايرة,negative,arabe,algerie
كلكم خرطي,negative,arabe,algerie
قالتلو ؛ أختك وعلاه يسموها شريفة,negative,arabe,algerie
وعلاه ناس يشنفو هكدا لالا,negative,arabe,algerie
وعلاه راكم تردو السلام بالمعرفة راني نشوف فيكم,negative,arabe,algerie
وعلاه تفتحوا الجرح,negative,arabe,algerie
وعلاه راكي تسوڨي طيارة علمينا نسوڨو,negative,arabe,algerie
وعلاه ماتريحش دارها زوجها كاين رجل يتحرش ومراة تتحرش ويوقع مصيدة واحدة والعكس تلبس الميني,negative,arabe,algerie
معلومة جهل أيوب وعلاه خويا وعلاه,negative,arabe,algerie
ياكهل ماتضحكش وعلاه باسكو راهي تدخل نوع كوميديا الاستهزائيةومشمل شكون راهو يسته,negative,arabe,algerie
وعلاه حنا عندنا منتخب عالمي أسهل فرصة للتأهل ضيعناها برعونة المدرب وبعض اللاعبين,negative,arabe,algerie
مشي تليفون حجة التقافة الشعب معندوش وعلاه اجنبين متقفين,negative,arabe,algerie
وعلاه تعب روحك وتروح للمرشي تقضي ممنوع الاعتراض ؟؟ حط رجل رجل وتشرط مول القضيان,negative,arabe,algerie
فهمتش وعلاه يستقبلوهميستهلو حشاكم بزقة الوجه المرخس,negative,arabe,algerie
وعلاه احترافي ؟؟ اعلامنا يرتقب لهاته الصفة,negative,arabe,algerie
هه يوم موش، ساهلوعلاه نقصوش الدرجة,negative,arabe,algerie
وعلاه مالا تعلقو التغريدات اسم الجزائر؟؟ معقدين ؟ هاذا طبعكم يالعياشة هاذا الي تعرفو,negative,arabe,algerie
وعلاه غلقتوش انتوم لمدة بسيطة ؟ لأنكم جبناء انذال,negative,arabe,algerie
وعلاه مغطية وجها بعلم الجزائر ؟ حشمت بيه ؟المهم راهي عارفة اين تؤكل الكتف، خليها دير,negative,arabe,algerie
وعلاه متابعتنيش,negative,arabe,algerie
انت وعلاه راك تابع تغريذاته نذل ذبابة؟؟ نعرف مل حاجة يوقف متابعت,negative,arabe,algerie
وعلاه انتي ملاكة الجمال,negative,arabe,algerie
وعلاه اسيدي,negative,arabe,algerie
